Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
1900,800,67,3,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.53838,-46.589441
2500,720,68,3,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538163,-46.591505
1400,743,63,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.540023,-46.586898
1800,530,59,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114
1500,2893,230,3,2,1,2,0,0,0,0,Belém/São Paulo,rent,apartment,-23.540212,-46.585702
2300,857,113,3,2,1,2,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538134,-46.594059
2250,530,68,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538163,-46.591505
1700,445,65,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.532871,-46.601244
1726,290,55,2,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.534606,-46.595084
1700,450,50,1,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.546089,-46.590325
1600,300,48,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.546104,-46.594579
810,140,36,1,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.538794,-46.605664
3000,811,107,3,3,1,2,1,0,1,0,Belém/São Paulo,rent,apartment,-23.538767,-46.594706
6000,800,150,3,4,3,2,1,1,0,0,Belém/São Paulo,rent,apartment,-23.550987,-46.590908
1750,760,60,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.53838,-46.589441
2500,857,113,3,2,1,2,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538134,-46.594059
3800,1450,155,3,4,3,3,1,1,0,0,Belém/São Paulo,rent,apartment,-23.540085,-46.593312
1600,300,66,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.537299,-46.583385
990,692,57,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.530025,-46.600427
1850,500,57,2,2,1,2,0,0,1,0,Belém/São Paulo,rent,apartment,-23.543955,-46.586619
1950,377,55,2,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.535523,-46.593554
1099,400,85,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.536996,-46.591994
2300,907,114,4,3,2,2,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538904,-46.589456
1500,275,80,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.53718,-46.593103
1300,289,44,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.559264,-46.575407
1900,374,55,2,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.536768,-46.593884
1350,500,51,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538535,-46.595799
2500,857,115,3,2,1,2,1,0,1,0,Belém/São Paulo,rent,apartment,-23.538282,-46.593159
2500,750,73,3,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.537348,-46.588941
1200,0,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.502336,-46.523243
1450,0,65,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.506197,-46.522358
1100,590,64,3,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.509447,-46.530638
870,560,58,2,2,1,1,0,0,1,0,Cangaíba/São Paulo,rent,apartment,-23.510982,-46.542666
1300,310,57,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.49777,-46.511826
1000,380,58,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.510943,-46.52949
1100,546,96,3,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508423,-46.530246
1100,250,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.503393,-46.523542
800,0,40,1,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.509073,-46.53732
1200,400,62,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508439,-46.530778
900,250,53,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.505049,-46.527093
1150,0,52,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.504686,-46.513013
1250,400,55,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508439,-46.530778
1100,580,60,2,2,1,1,1,0,1,0,Cangaíba/São Paulo,rent,apartment,-23.515341,-46.532945
1200,570,67,2,2,1,1,1,0,1,0,Cangaíba/São Paulo,rent,apartment,-23.510982,-46.542666
1200,0,50,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.505049,-46.527093
1200,400,55,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.509447,-46.530638
1400,0,55,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.499806,-46.522778
1350,0,52,3,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.505049,-46.527093
1200,587,70,3,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508423,-46.530246
1300,0,46,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.50448,-46.51085
1000,380,48,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.512882,-46.547654
1600,0,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.503393,-46.523542
1600,400,52,2,2,1,1,1,0,1,0,Cangaíba/São Paulo,rent,apartment,-23.512219,-46.534244
1150,370,55,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.511022,-46.529594
1200,220,45,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.519551,-46.553027
1500,410,56,3,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.502942,-46.508986
1120,340,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.502336,-46.523243
1300,400,55,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508439,-46.530778
1100,0,60,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.505049,-46.527093
1860,340,50,2,2,1,1,1,1,1,0,Carrão/São Paulo,rent,apartment,-23.552816,-46.522893
1400,708,70,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.56119,-46.543428
3200,850,105,3,4,3,2,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.561751,-46.538091
900,500,50,2,2,1,1,1,0,0,0,Carrão/São Paulo,rent,apartment,-23.553051,-46.524581
3500,1000,125,3,2,1,2,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.543743,-46.540831
3500,1030,126,3,4,3,2,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.55404,-46.545111
3500,580,98,2,1,2,2,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.551159,-46.540401
1350,345,49,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.552816,-46.522893
2300,374,65,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.534905,-46.565266
1300,580,62,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.562428,-46.532338
1400,510,64,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.555378,-46.531058
3500,1030,126,3,5,3,2,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.551011,-46.543376
1600,520,64,3,2,1,1,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.554469,-46.545331
1000,750,60,2,2,1,1,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.556845,-46.541489
2200,678,75,3,2,1,2,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.545657,-46.541398
1600,450,54,2,2,1,1,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.539497,-46.546527
1700,248,48,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.556977,-46.524572
1400,510,64,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.557944,-46.532721
1200,497,48,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.558904,-46.539729
1200,450,48,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.552901,-46.525581
1000,320,50,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.551984,-46.522097
1441,733,70,2,2,1,1,1,1,0,0,Carrão/São Paulo,rent,apartment,-23.54162,-46.552255
1200,835,56,2,2,1,1,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.556661,-46.546212
1400,550,72,2,2,1,1,1,0,0,0,Carrão/São Paulo,rent,apartment,-23.557115,-46.539416
3100,650,114,3,3,1,2,1,1,1,0,Carrão/São Paulo,rent,apartment,-23.551712,-46.545053
1200,130,40,1,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.543084,-46.539058
2200,0,106,3,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.557605,-46.539931
1350,320,50,2,2,1,1,1,0,0,0,Carrão/São Paulo,rent,apartment,-23.551984,-46.522097
1500,870,77,3,2,1,2,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.555098,-46.528565
1900,546,61,2,2,1,1,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.554469,-46.545331
3000,1500,198,3,2,1,3,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.551712,-46.545053
1200,100,35,2,2,1,1,0,0,0,0,Carrão/São Paulo,rent,apartment,-23.548841,-46.541492
1500,870,78,3,2,1,2,0,0,1,0,Carrão/São Paulo,rent,apartment,-23.555098,-46.528565
1300,583,72,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.562782,-46.531425
1280,560,62,2,2,1,1,1,0,1,0,Carrão/São Paulo,rent,apartment,-23.562428,-46.532338
1200,450,50,2,2,1,1,1,0,0,0,Carrão/São Paulo,rent,apartment,-23.555806,-46.529708
1300,0,65,3,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.552162,-46.476099
850,415,50,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562946,-46.479356
900,465,48,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562975,-46.479401
1400,360,66,3,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.559894,-46.511703
1800,480,82,3,2,1,1,1,1,0,0,Cidade Líder/São Paulo,rent,apartment,-23.553679,-46.467287
1200,0,64,3,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.558014,-46.475743
700,0,30,1,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.573224,-46.481089
500,0,50,1,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.559095,-46.48816
1200,290,46,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562211,-46.479378
1100,300,50,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562208,-46.479379
1500,530,63,3,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
1100,498,47,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.564017,-46.467957
1100,442,67,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.555285,-46.479096
1300,415,48,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.563018,-46.478423
1200,350,56,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562596,-46.478924
1300,0,70,3,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.552162,-46.476099
1800,482,82,3,2,1,1,1,1,0,0,Cidade Líder/São Paulo,rent,apartment,-23.553284,-46.466516
1346,0,49,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.55686,-46.476183
1000,330,50,2,2,1,1,0,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.576242,-46.490775
1350,400,47,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562596,-46.478924
1000,0,70,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.551332,-46.477462
850,415,50,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.562596,-46.478924
950,430,60,2,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
700,250,47,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.564088,-46.477392
1850,490,92,3,2,1,1,1,1,0,0,Cidade Líder/São Paulo,rent,apartment,-23.55675,-46.489407
780,320,50,2,2,1,1,1,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.563544,-46.479948
900,0,48,2,2,1,1,0,0,0,0,Cidade Líder/São Paulo,rent,apartment,-23.55686,-46.476183
1000,395,55,2,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
1000,530,62,3,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
1100,480,62,3,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
1500,375,55,2,2,1,1,1,0,1,0,Cidade Líder/São Paulo,rent,apartment,-23.564779,-46.476772
550,100,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.6006,-46.39428
600,110,46,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.600594,-46.394294
700,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.60452,-46.399058
6000,0,152,2,2,1,1,1,1,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.588704,-46.40328
800,50,46,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.590671,-46.396841
2000,615,74,3,2,1,1,1,0,1,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.609832,-46.405243
1200,330,70,2,2,1,1,0,0,1,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.610718,-46.408223
3000,500,60,1,2,1,2,0,0,1,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.590012,-46.405122
750,50,45,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582514,-46.402498
850,0,54,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.598796,-46.419974
750,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.600057,-46.420926
600,100,49,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.595545,-46.42033
700,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.600983,-46.422829
750,0,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.598558,-46.424069
750,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.598124,-46.424234
700,250,45,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.59477,-46.424304
1100,350,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582576,-46.417478
1300,387,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582576,-46.417478
950,359,60,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582576,-46.417478
1300,387,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582576,-46.417478
950,380,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.582576,-46.417478
900,195,48,2,2,1,1,0,1,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.580279,-46.418321
18000,1890,245,4,5,2,4,1,0,1,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.575461,-46.411681
16000,1739,230,4,3,2,4,1,0,1,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.573977,-46.412727
870,0,50,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.568059,-46.397274
650,170,60,2,2,1,1,1,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.56698,-46.393903
720,180,40,2,2,1,1,0,1,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.566541,-46.401387
700,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.566205,-46.400635
700,150,46,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.569245,-46.41746
628,172,52,2,2,1,1,0,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.5684,-46.419426
700,182,38,2,2,1,1,1,0,0,0,Cidade Tiradentes/São Paulo,rent,apartment,-23.563591,-46.403328
850,0,40,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.495003,-46.475877
1300,0,48,2,2,1,1,1,1,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.483647,-46.490683
900,650,50,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.506507,-46.487313
1200,0,52,2,2,1,1,1,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.483649,-46.490709
1350,0,50,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.501495,-46.384906
800,520,55,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.50547,-46.470505
920,650,52,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.506507,-46.487313
1300,0,48,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.486856,-46.469821
1000,0,50,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.488885,-46.468045
1100,0,64,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.488885,-46.468045
1200,180,48,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.498043,-46.468908
2000,320,48,2,2,1,1,0,1,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.483649,-46.490709
900,0,65,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.488885,-46.468045
1500,0,62,3,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.502494,-46.476288
1000,0,55,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.518462,-46.474342
1200,452,50,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.505297,-46.473889
1500,0,53,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.488885,-46.468045
1240,0,53,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.48889,-46.468044
1300,0,44,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.483649,-46.490709
1350,420,50,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.486781,-46.470096
1600,370,70,2,2,1,1,1,0,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.486951,-46.469086
855,470,50,2,2,1,1,1,1,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.491355,-46.47177
1300,0,50,2,2,1,1,1,1,1,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.491362,-46.47179
1600,0,52,2,2,1,1,1,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.493198,-46.479309
999,0,70,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.494694,-46.478125
888,0,70,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.494694,-46.478125
999,0,70,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.494694,-46.478125
888,0,70,2,2,1,1,0,0,0,0,Ermelino Matarazzo/São Paulo,rent,apartment,-23.494694,-46.478125
4500,1080,107,3,2,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
5890,550,87,2,2,1,1,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
4200,1031,120,3,3,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.582532,-46.683292
6700,0,130,3,3,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
4500,1100,87,2,2,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.662795,-46.544242
7200,1080,131,3,3,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
4800,550,90,2,2,1,1,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
6500,885,107,3,3,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
7200,1080,131,3,3,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
4500,1100,87,2,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.663746,-46.544625
7500,1080,131,3,3,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
4200,1031,120,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
5500,550,90,2,2,1,1,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.584482,-46.682312
8000,1400,132,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.585672,-46.681216
4300,600,90,2,2,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.583294,-46.682813
4500,1100,87,2,2,1,1,1,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.583798,-46.681529
6500,0,92,1,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
8000,0,116,2,2,1,1,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
21000,0,223,3,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
14000,0,100,2,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
10000,0,70,1,2,1,1,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
11000,0,100,2,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
45000,0,443,4,2,1,1,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.5857,-46.6826
20000,2800,250,4,6,4,4,1,0,1,0,Iguatemi/São Paulo,rent,apartment,-23.583577,-46.683324
6000,1100,43,1,2,1,1,0,0,1,0,Iguatemi/São Paulo,rent,apartment,-23.58383,-46.683541
5500,1120,44,1,2,1,1,1,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.58383,-46.683541
7200,1900,62,1,2,1,2,0,1,0,0,Iguatemi/São Paulo,rent,apartment,-23.58383,-46.683541
4393,1044,42,1,2,1,2,0,0,0,0,Iguatemi/São Paulo,rent,apartment,-23.58383,-46.683541
800,160,38,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.512663,-46.393631
900,0,46,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.483159,-46.378916
660,240,41,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.509727,-46.380503
1000,290,38,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.513366,-46.39198
650,75,43,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.586101,-46.404623
630,220,41,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.509679,-46.379846
1000,0,48,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.513114,-46.37971
940,160,41,2,2,1,1,0,0,0,0,Itaim Paulista/São Paulo,rent,apartment,-23.509727,-46.380503
1100,450,57,2,2,1,1,1,1,0,0,Itaquera/São Paulo,rent,apartment,-23.553362,-46.459186
